antagandepoäng	²'a n t ɑː ɡ a n d ɛ p ʊ ɛ ŋ
antagit	²'a n t ɑː ɡ ɪ t
antagligen	²'a n t ɑː ɡ l ɪ ɡ ɛ n
antagonist	a n t a ɡ ʊ n 'ɪ s t
antal	²'a n t ɑː l
antarktis	a n t a r k t ɪ s
antasta	²'a n t a s t a
antastar	²'a n t a s t a r
anteckna	²'a n t ɛ k n a
antecknar	²'a n t ɛ k n a r
anteckning	²'a n t ɛ k n ɪ ŋ
antenn	a n t 'ɛ n
antepenultima	a n t ɛ p ɛ n ɵ l t ɪ m a
anti-	²'a n t ɪ
antibiotika	a n t ɪ b ɪ 'oː t ɪ k a
antihjälte	²'a n t ɪ j ɛ l t ɛ
antik	a n t 'iː k
antiken	a n t 'iː k ɛ n
antiklimax	²'a n t ɪ k l iː m a k s
antikropp	²'a n t ɪ k r ɔ p
antikvariat	a n t ɪ k v a r ɪ 'ɑː t
antikverad	a n t ɪ k v 'eː r a d
antikvitet	a n t ɪ k v ɪ t 'eː t
antimateria	²s a n t ɪ m a t 'eː r ɪ a
antimon	a n t ɪ m oː n
antingen	²'a n t ɪ ŋ ɛ n
antisemit	a n t ɪ s ɛ m 'iː t
antisemitisk	a n t ɪ s ɛ m 'iː t ɪ s k
antisemitism	a n t ɪ s ɛ m ɪ t ɪ s m
antiseptisk	a n t ɪ s 'ɛ p t ɪ s k
antog	²'a n t uː ɡ
antologi	a n t ɔ l ɔ ɡ 'iː
antropologi	a n t r ɔ p ɔ l ɔ ɡ 'iː
