!sil	SIL
'c'que	s k
byzantines	b i z ɑ̃ t i n
bâbord	b a b ɔ ʁ
bâche	b a ʃ
bâches	b a ʃ
bâchée	b a ʃ e
bâchées	b a ʃ e
bâcler	b a k l e
bâcles	b a k l
bâclé	b a k l e
bâilla	b a j a
bâillaient	b a j ɛ
bâillait	b a j ɛ
bâillant	b a j ɑ̃
bâillement	b a j m ɑ̃
bâillements	b a j m ɑ̃
bâiller	b a j e
bâillon	b a j ɔ̃
bâillonnant	b a j ɔ n ɑ̃
bâillonner	b a j ɔ n e
bâillonnera	b a j ɔ n ə ʁ a
bâillonnez-le	b a j ɔ n e l ə
bâillonnèrent	b a j ɔ n ɛ ʁ
bâillonné	b a j ɔ n e
bâillonnée	b a j ɔ n e
bâle	b a l
bât	b a
bâtard	b a t a ʁ
bâtarde	b a t a ʁ d
bâtardise	b a t a ʁ d i z
bâteau	b a t o
bâteaux	b a t o
bâtez-vous	b a t e v u
bâti	b a t i
bâtie	b a t i
bâtie-neuve	b a t i n œ v
bâties	b a t i
bâtiment	b a t i m ɑ̃
bâtiments	b a t i m ɑ̃
bâtine	b a t i n
bâtir	b a t i ʁ
bâtirait	b a t i ʁ ɛ
bâtirons	b a t i ʁ ɔ̃
bâtis	b a t i
bâtisse	b a t i s
bâtisses	b a t i s
bâtisseur	b a t i s œ ʁ
bâtissez	b a t i s e
bâtit	b a t i
bâton	b a t ɔ̃
bâtonnait	b a t ɔ n ɛ
bâtonnets	b a t ɔ n ɛ
bâtonnistes	b a t ɔ n i s t
bâtons	b a t ɔ̃
bâté	b a t e
bè	b ɛ
bègles	b ɛ ɡ l
bègue	b ɛ ɡ
bèze	b ɛ z
bé	b e
béa	b e a
béance	b e ɑ̃ s
béant	b e ɑ̃
béante	b e ɑ̃ t
béantes	b e ɑ̃ t
béants	b e ɑ̃
béarn	b e a ʁ n
béarnais	b e a ʁ n ɛ
béat	b e a
béate	b e a t
béatitude	b e a t i t y d
béatrice	b e a t ʁ i s
béatrix	b e a t ʁ i k s
béb	b e b
bébe	b e b
bébert	b e b ɛ ʁ
bébé	b e b e
bébés	b e b e
bébêtes	b e b ɛ t
bécamel	b e k a m ɛ l
bécasse	b e k a s
bécasses	b e k a s
bécassine	b e k a s i n
bécassines	b e k a s i n
béchamel	b e ʃ a m ɛ l
béchevel	b e ʃ v ɛ l
béda	b e d a
bédart	b e d a ʁ
bédoin	b e d ɛ
bédouin	b e d w ɛ̃
bédouins	b e d w ɛ̃
bée	b e
bégaie	b e ɡ ɛ
bégard	b e ɡ a ʁ
bégarenne	b e ɡ a ʁ ɛ n
bégaya	b e ɡ ɛ j a
bégaya-t-elle	b e ɡ e j a t ɛ l
bégaya-t-il	b e ɡ e j a t i l
bégayait	b e ɡ ɛ j ɛ
bégayait-il	b e ɡ ɛ j ɛ t i l
bégayant	b e ɡ ɛ j ɑ̃
bégayement	b e ɡ ɛ j ə m ɑ̃
bégayer	b e ɡ e j e
bégayé	b e ɡ ɛ j e
bégo	b e ɡ o
bégond	b e ɡ ɔ̃
bégonia	b e ɡ ɔ n j a
bégueule	b e ɡ œ l
béguin	b e ɡ ɛ̃
béguins	b e ɡ ɛ̃
béh	b e
béhoust	b e u s t
béhémoth	b e e m ɔ t
béjarry	b e ʒ a ʁ i
béjaïa	b e ʒ a j a
béjut	b e ʒ y
bélier	b e l j e
béliers	b e l j e
bélisaire	b e l i z ɛ ʁ
bélo	b e l o
bélître	b e l i t ʁ
bémol	b e m ɔ l
bénarès	b e n a ʁ ɛ s
bénesse-lès-dax	b e n ɛ s l ɛ d a k s
bénezet	b e n ə z ɛ
béni	b e n i
bénie	b e n i
bénignes	b e n i ɲ
bénignité	b e n i ɲ i t e
bénin	b e n ɛ̃
bénir	b e n i ʁ
bénira	b e n i ʁ a
bénirai	b e n i ʁ e
bénirez	b e n i ʁ e
béniront	b e n i ʁ ɔ̃
bénis	b e n i
bénissaient	b e n i s ɛ
bénissait	b e n i s ɛ
bénissant	b e n i s ɑ̃
bénissants	b e n i s ɑ̃
bénisse	b e n i s
bénissez	b e n i s e
bénit	b e n i
bénite	b e n i t
bénitier	b e n i t j e
bénitiers	b e n i t j e
bénodet	b e n ɔ d ɛ
béné	b e n e
bénédicité	b e n e d i s i t e
bénédicte	b e n e d i k t ə
bénédictine	b e n e d i k t i n
bénédictins	b e n e d i k t ɛ̃
bénédiction	b e n e d i k s j ɔ̃
bénédictions	b e n e d i k s j ɔ̃
bénéfice	b e n e f i s
bénéfices	b e n e f i s
bénéficiaire	b e n e f i s j ɛ ʁ
bénéficiaires	b e n e f i s j ɛ ʁ
bénéficiait	b e n e f i s j ɛ
bénéficie	b e n e f i s i
bénéficient	b e n e f i s i
bénéficier	b e n e f i s j e
bénéficieraient	b e n e f i s i ʁ ɛ
bénéficiez	b e n e f i s j e
bénéficié	b e n e f i s j e
bénéfique	b e n e f i k
bénéfiques	b e n e f i k
bénévolat	b e n e v ɔ l a
bénévole	b e n e v ɔ l
bénévolement	b e n e v ɔ l m ɑ̃
bénévoles	b e n e v ɔ l
béotiens	b e ɔ s j ɛ̃
béquillard	b e k i j a ʁ
béquille	b e k i j
béquilles	b e k i j
béquilleur	b e k i j œ ʁ
béraire	b e ʁ ɛ ʁ
béranger	b e ʁ ɑ̃ ʒ e
bérarde	b e ʁ a ʁ d
béraud	b e ʁ o
bérault	b e ʁ o
bérenger	b e ʁ ɑ̃ ʒ e
bérengère	b e ʁ ɑ̃ ʒ ɛ ʁ
béret	b e ʁ ɛ
bérets	b e ʁ ɛ
béring	b e ʁ i ŋ
béringhen	b e ʁ i ŋ ɡ ɛ n
béringier	b e ʁ ɛ̃ ʒ j e
béron	b e ʁ ɔ̃
béré	b e ʁ e
bésicles	b e s i k l
bésigue	b e z i ɡ
bétadine	b e t a d i n
bétail	b e t a j
bétheny	b e t n i
béthune	b e t y n
bétise	b ɛ t i z
bétises	b ɛ t i z
bétoine	b e t w a n
béton	b e t ɔ̃
bétonné	b e t ɔ n e
bétonnés	b e t ɔ n e
bévenais	b e v ə n ɛ
bévue	b e v y
bévues	b e v y
béziers	b e z j e
bézoard	b e z ɔ a ʁ
bê	b ɛ
bêche	b ɛ ʃ
bêchent	b ɛ ʃ
bêcher	b e ʃ e
bêches	b ɛ ʃ
bêla	b e l a
bêlaient	b e l ɛ
bêlement	b ɛ l m ɑ̃
bêlements	b ɛ l m ɑ̃
bêlera	b ɛ l ə ʁ a
bêlèrent	b e l ɛ ʁ
bêlé	b e l e
bêta	b ɛ t a
bête	b ɛ t
bête-la	b ɛ t l a
bête-là	b ɛ t l a
bêtement	b ɛ t m ɑ̃
bêtes	b ɛ t
bêtes-là	b ɛ t l a
bêti	b e t i
bêtifiant	b ɛ t i f j ɑ̃
bêtise	b e t i z
bêtises	b e t i z
bêtisiers	b e t i z j e
bêêê	b e ɛ ɛ
bôdhidharama	b o d i d a ʁ a m a
böttger	b ø f d ʒ œ ʁ
bûche	b y ʃ
bûchent	b y ʃ
bûcher	b y ʃ e
bûcherie	b u ʃ ʁ i
bûcheron	b y ʃ ə ʁ ɔ̃
bûcherons	b y ʃ ə ʁ ɔ̃
bûchers	b y ʃ e
bûches	b y ʃ
bûchettes	b y ʃ ɛ t
bûcheurs	b y ʃ œ ʁ
bûché	b y ʃ e
bûmes	b y m
bûté	b y t e
büchner	b y ʃ n œ ʁ
bürgerschaft	b y ʁ d ʒ œ ʁ ʃ a f t
bœsenbiesen	b ø s ɑ̃ b j e z ɛ n
bœuf	b œ f
bœufs	b ø
bœurs-en-othe	b œ ʁ ɑ̃ ɔ t
c	s e
c'	s
c'a	s a
c'cas	s k a
c'e	s e
c'en	s ɑ̃
c'es	s ɛ
c'est	s ɛ
c'est-c'est	s ɛ s ɛ
c'est-ce	s ɛ s
c'est-elle	s ɛ t ɛ l
c'est-il	s ɛ t i l
c'est-y	s ɛ t i
c'estquand	s e t k w ɑ̃
c'estça	s e t s a
c'et	s e
c'etait	s e t ɛ
c'eut	s y
c'eût	s y
c'harr	s a ʁ
c'hoadic	s ɔ d i k
c'lui-ci	s l ɥ i s i
c'matin	s m a t ɛ̃
c'moment	s m ɔ m ɑ̃
c'paquet	s p a k ɛ
c'pas	s p a
c'problème	s p ʁ ɔ b l ɛ m
c'qu	s k y
c'que	s k ə
c'qui	s k i
c't	s t e
c'tait	s t ɛ
c'te	s t ə
c'tempérament-là	s t ɑ̃ p e ʁ a m ɑ̃ l a
c'ui-ci	s ɥ i s i
c'é	s e
c'ét	s e t
c'ét-c'était	s e t s e t ɛ
c'étaient	s e t ɛ
c'étais	s e t ɛ
c'était	s e t ɛ
c'était-il	s e t ɛ t i l
c'étions	s e t j ɔ̃
c-c'est	s e k ɛ
c-c-c'était	s e k s e t ɛ
c-comment	s e k ɔ m ɑ̃
c-euh	s e ø
c4	s e k a t ʁ
ca	s e a
cab	k a b
cabalade	k a b a l a d
cabale	k a b a l
cabalistique	k a b a l i s t i k
caballos	k a b a l o
caban	k a b ɑ̃
cabane	k a b a n
cabanes	k a b a n
cabannes	k a b a n
cabanon	k a b a n ɔ̃
cabans	k a b ɑ̃
cabaret	k a b a ʁ ɛ
cabaretier	k a b a ʁ ə t j e
cabaretiers	k a b a ʁ ə t j e
cabaretière	k a b a ʁ ə t j ɛ ʁ
cabarets	k a b a ʁ ɛ
cabarrot	k a b a ʁ o
cabas	k a b a
cabassole	k a b a s ɔ l
cabassou	k a b a s u
cabaud	k a b o
cabernet	k a b ɛ ʁ n ɛ
cabestan	k a b ɛ s t ɑ̃
cabestany	k a b ɛ s t a n j
cabiai	k a b j ɛ
cabiais	k a b j ɛ
cabidourle	k a b i d u ʁ l
cabine	k a b i n
cabines	k a b i n
cabinet	k a b i n ɛ
cabinets	k a b i n ɛ
cabirots	k a b i ʁ ɔ
cabo	k a b o
caboche	k a b ɔ ʃ
cabochon	k a b ɔ ʃ ɔ̃
cabochons	k a b ɔ ʃ ɔ̃
cabos	k a b ɔ s
cabotage	k a b ɔ t a ʒ
caboteurs	k a b ɔ t œ ʁ
cabotin	k a b ɔ t ɛ̃
cabotins	k a b ɔ t ɛ̃
caboulot	k a b u l o
caboulots	k a b u l o
cabourg	k a b u ʁ
caboussat	k a b u s a
cabra	k a b ʁ a
cabraient	k a b ʁ ɛ
cabre	k a b ʁ
cabrel	k a b ʁ ɛ l
cabrer	k a b ʁ e
cabri	k a b ʁ i
cabrio	k a b ʁ i j o
cabriolet	k a b ʁ i j ɔ l ɛ
cabriolets	k a b ʁ i j ɔ l ɛ
cabrion	k a b ʁ i j ɔ̃
cabris	k a b ʁ i
cabriès	k a b ʁ j ɛ s
cabrol	k a b ʁ ɔ l
cabrèrent	k a b ʁ ɛ ʁ
cabuc	k a b y k
cac	k a k
caca	k a k a
cacahuète	k a k a w ɛ t
cacahuètes	k a k a w ɛ t
cacao	k a k a o
cacault	k a k o
cach	k a ʃ
cacha	k a ʃ a
cacha-t-il	k a ʃ a t i l
cachai	k a ʃ e
cachaient	k a ʃ ɛ
cachais	k a ʃ ɛ
cachait	k a ʃ ɛ
cachalet	k a ʃ a l ɛ
cachalot	k a ʃ a l o
cachalots	k a ʃ a l o
cachan	k a ʃ ɑ̃
cachant	k a ʃ ɑ̃
cache	k a ʃ
cache-cache	k a ʃ k a ʃ
cache-cols	k a ʃ k ɔ l
cache-le	k a ʃ l ə
cache-nez	k a ʃ n e
cache-pot	k a ʃ p o
cache-sottise	k a ʃ s ɔ t i z
cache-t-il	k a ʃ t i l
cache-toi	k a ʃ t w a
cachemire	k a ʃ m i ʁ
cachemires	k a ʃ m i ʁ
cachen	k a ʃ ɛ n
cachent	k a ʃ
cacher	k a ʃ e
cachera	k a ʃ ə ʁ a
cacherai	k a ʃ ə ʁ e
cacherais	k a ʃ ə ʁ ɛ
cacherait	k a ʃ ə ʁ ɛ
cacherait-elle	k a ʃ ə ʁ ɛ t ɛ l
cacheras	k a ʃ ə ʁ a
cacheriez	k a ʃ ə ʁ j e
cacherions	k a ʃ ə ʁ j ɔ̃
cacheront	k a ʃ ə ʁ ɔ̃
caches	k a ʃ
caches-tu	k a ʃ t y
cachet	k a ʃ ɛ
cacheta	k a ʃ ə t a
cachetait	k a ʃ ə t ɛ
cacheter	k a ʃ t e
cachets	k a ʃ ɛ
cachette	k a ʃ ɛ t
cachettes	k a ʃ ɛ t
cacheté	k a ʃ t e
cachetée	k a ʃ ə t e
cachetées	k a ʃ ə t e
cachez	k a ʃ e
cachez-le	k a ʃ e l ə
cachez-vous	k a ʃ e v u
cachions	k a ʃ j ɔ̃
cachons	k a ʃ ɔ̃
cachons-nous	k a ʃ ɔ̃ n u
cachot	k a ʃ o
cachoteries	k a ʃ ɔ t ʁ i
cachots	k a ʃ o
cachottière	k a ʃ ɔ t j ɛ ʁ
cachou	k a ʃ u
cachucha	k a t ʃ y t ʃ a
cachy	k a ʃ i
cachèrent	k a ʃ ɛ ʁ
caché	k a ʃ e
cachée	k a ʃ e
cachées	k a ʃ e
cachés	k a ʃ e
caciacus	k a s i a k y s
cacio	k a s j o
cacochyme	k a k ɔ ʃ i m
cacophonie	k a k ɔ f ɔ n i
cacophonique	k a k ɔ f ɔ n i k
cacouannes	k a k w a n
cactus	k a k t y s
cad	k a d
cada	k a d a
cadastre	k a d a s t ʁ
cadavre	k a d a v ʁ
cadavres	k a d a v ʁ
cadavéreuse	k a d a v e ʁ ø z
cadavériques	k a d a v e ʁ i k
caddie	k a d i
cadeau	k a d o
cadeau-là	k a d o l a
cadeaux	k a d o
cadenas	k a d n a
cadenassée	k a d n a s e
cadenassées	k a d n a s e
cadence	k a d ɑ̃ s
cadencement	k a d ɑ̃ s m ɑ̃
cadences	k a d ɑ̃ s
cadencé	k a d ɑ̃ s e
cadencée	k a d ɑ̃ s e
cadencées	k a d ɑ̃ s e
cadencés	k a d ɑ̃ s e
cadençant	k a d ɑ̃ s ɑ̃
cadet	k a d ɛ
cadet-là	k a d ɛ l a
cadets	k a d ɛ
cadette	k a d ɛ t
cadettes	k a d ɛ t
cadinot	k a d i n o
cadio	k a d j o
cadix	k a d i k s
cadmor	k a d m o ʁ
cado	k a d o
cadoc	k a d ɔ k
cadore	k a d ɔ ʁ
cadoret	k a d ɔ ʁ ɛ
cadoudal	k a d u d a l
cadoudat	k a d u d a
cadrait	k a d ʁ ɛ
cadran	k a d ʁ ɑ̃
cadranel	k a d ʁ a n ɛ l
cadrans	k a d ʁ ɑ̃
cadrantes	k a d ʁ ɑ̃ t
cadre	k a d ʁ
cadre-là	k a d ʁ l a
cadrer	k a d ʁ e
cadres	k a d ʁ
cadré	k a d ʁ e
caducité	k a d y s i t e
caducs	k a d y k
caduque	k a d y k
cady	k a d i
cadènes	k a d ɛ n
cadéot	k a d e o
caen	k ɑ̃
caf	k a f
cafard	k a f a ʁ
cafetan	k a f t ɑ̃
cafetans	k a f t ɑ̃
cafetier	k a f t j e
cafetiè	k a f t j e
cafetière	k a f t j ɛ ʁ
caffode	k a f ɔ d
cafie	k a f i
cafong	k a f ɔ̃ ɡ
cafre	k a f ʁ
cafèt	k a f ɛ t
café	k a f e
caféine	k a f e i n
caféière	k a f e j ɛ ʁ
cafés	k a f e
cafét	k a f ɛ t
cafétéria	k a f e t e ʁ j a
cagade	k a ɡ a d
cage	k a ʒ
cages	k a ʒ
cagette	k a ʒ ɛ t
cagibi	k a ʒ i b i
cagliostro	k a ɡ l j ɔ s t ʁ o
cagnard	k a ɲ a ʁ
cagnards	k a ɲ a ʁ
cagneux	k a ɲ ø
cagole	k a ɡ ɔ l
cagoule	k a ɡ u l
cahagnes	k a a ɲ
cahier	k a j e
cahiers	k a j e
cahin-caha	k a ɛ̃ k a a
cahors	k a ɔ ʁ
cahot	k a o
cahotait	k a ɔ t ɛ
cahotement	k a ɔ t m ɑ̃
cahoter	k a ɔ t e
cahoteuses	k a ɔ t ø z
cahots	k a o
cahoté	k a ɔ t e
cahotés	k a ɔ t e
caht	k a t
cahute	k a y t
cahutes	k a y t
cahuzac	k a y z a k
cail	k a j
cailar	k j a ʁ
caillais	k a j ɛ
caillard	k a j a ʁ
caillaudière	k a j o d j ɛ ʁ
caille	k a j
caillera	k a j ʁ a
cailleras	k a j ʁ a
cailles	k a j
caillette	k a j ɛ t
caillot	k a j o
caillots	k a j o
caillottes	k a j ɔ t
caillou	k a j u
caillouteux	k a j u t ø
cailloutis	k a j u t i
cailloux	k a j u
cailloys	k a j ɔ j
cailly	k a j i
caillé	k a j e
caire	k ɛ ʁ
caissargues	k a ʁ ɡ
caisse	k ɛ s
caisses	k ɛ s
caissette	k ɛ s ɛ t
caissettes	k ɛ s ɛ t
caissier	k ɛ s j e
caissière	k ɛ s j ɛ ʁ
caissières	k ɛ s j ɛ ʁ
caisson	k ɛ s ɔ̃
caissons	k ɛ s ɔ̃
cajarc	k a ʒ a ʁ k
cajolait	k a ʒ ɔ l ɛ
cajoler	k a ʒ ɔ l e
cake	k ɛ k
cal	k a l
cala	k a l a
caladium	k a l a d j ɔ m
calais	k a l ɛ
calamars	k a l a m a ʁ
calamités	k a l a m i t e
calant	k a l ɑ̃
calappiens	k a l a p j ɛ̃
calatrava	k a l a t ʁ a v a
calcaire	k a l k ɛ ʁ
calcaires	k a l k ɛ ʁ
calcaneum	k a l k a n œ m
calcas	k a l k a
calcavy	k a l k a v i
calcination	k a l s i n a s j ɔ̃
calciner	k a l s i n e
calcinée	k a l s i n e
calcinées	k a l s i n e
calcinés	k a l s i n e
calciques	k a l s i k
calcium	k a l s j ɔ m
calcul	k a l k y l
calcul-là	k a l k y l l a
calcula	k a l k y l a
calculai	k a l k y l e
calculaient	k a l k y l ɛ
calculait	k a l k y l ɛ
calculant	k a l k y l ɑ̃
calculateur	k a l k y l a t œ ʁ
calculateurs	k a l k y l a t œ ʁ
calculatrice	k a l k y l a t ʁ i s
calcule	k a l k y l
calculent	k a l k y l
calculer	k a l k y l e
calculette	k a l k y l ɛ t
calculez	k a l k y l e
calculs	k a l k y l
calculé	k a l k y l e
calculée	k a l k y l e
calculées	k a l k y l e
calculés	k a l k y l e
calcutta	k a l k y t a
caldé	k a l d e
cale	k a l
cale-pied	k a l p j e
cale-pieds	k a l p j e
calebasse	k a l b a s
calebasses	k a l b a s
calembour	k a l ɑ̃ b u ʁ
calembours	k a l ɑ̃ b u ʁ
calendal	k a l ɑ̃ d a l
calendes	k a l ɑ̃ d
calendrier	k a l ɑ̃ d ʁ i j e
calendriers	k a l ɑ̃ d ʁ i j e
calendèrement	k a l ɑ̃ d ɛ ʁ m ɑ̃
calent	k a l
calepin	k a l p ɛ̃
caler	k a l e
cales	k a l
calez-moi	k a l e m w a
caleçon	k a l s ɔ̃
calfat	k a l f a
calfatage	k a l f a t a ʒ
calfater	k a l f a t e
calfats	k a l f a
calfatée	k a l f a t e
calfatées	k a l f a t e
calfeutré	k a l f ø t ʁ e
cali	k a l i
caliban	k a l i b ɑ̃
calibre	k a l i b ʁ
calibres	k a l i b ʁ
calice	k a l i s
calices	k a l i s
calicot	k a l i k o
caliers	k a l j e
calife	k a l i f
californie	k a l i f ɔ ʁ n i
californien	k a l i f ɔ ʁ n j ɛ̃
californienne	k a l i f ɔ ʁ n j ɛ n
californiens	k a l i f ɔ ʁ n j ɛ̃
califourchon	k a l i f u ʁ ʃ ɔ̃
calin	k a l ɛ̃
calins	k a l ɛ̃
caliornes	k a l j ɔ ʁ n
calière	k a l j ɛ ʁ
call-center	k o l s ɛ n t œ ʁ
calla	k a l a
callas	k a l a
callennec	k a l e n ɛ k
caller	k o l e
calleuse	k a l ø z
calleuses	k a l ø z
calligraphie	k a l i ɡ ʁ a f i
calligraphié	k a l i ɡ ʁ a f j e
calliomores	k a l j ɔ m ɔ ʁ
callithamnes	k a l i t a m n
callosité	k a l ɔ z i t e
callosités	k a l ɔ z i t e
callot	k a l o
calma	k a l m a
calmaient	k a l m ɛ
calmait	k a l m ɛ
calmant	k a l m ɑ̃
calmante	k a l m ɑ̃ t
calmantes	k a l m ɑ̃ t
calmar	k a l m a ʁ
calmars	k a l m a ʁ
calme	k a l m
calme-toi	k a l m t w a
calmement	k a l m ə m ɑ̃
calment	k a l m
calmer	k a l m e
calmerait	k a l m ə ʁ ɛ
calmes	k a l m
calmette	k a l m ɛ t
calmez-vous	k a l m e v u
calmi	k a l m i
calmir	k a l m i ʁ
calmit	k a l m i
calmons-nous	k a l m ɔ̃ n u
calmont	k a l m ɔ̃
calmèrent	k a l m ɛ ʁ
calmé	k a l m e
calmée	k a l m e
calmés	k a l m e
calomniais	k a l ɔ m n j ɛ
calomniant	k a l ɔ m n j ɑ̃
calomniateur	k a l ɔ m n j a t œ ʁ
calomniateurs	k a l ɔ m n j a t œ ʁ
calomnie	k a l ɔ m n i
calomnier	k a l ɔ m n j e
calomnies	k a l ɔ m n i
calomniez	k a l ɔ m n j e
calomnié	k a l ɔ m n j e
calomniée	k a l ɔ m n j e
calomniées	k a l ɔ m n j e
calonne-ricouart	k a l ɔ n ʁ i k u a ʁ
calorifique	k a l ɔ ʁ i f i k
calorifiques	k a l ɔ ʁ i f i k
calorifère	k a l ɔ ʁ i f ɛ ʁ
calorique	k a l ɔ ʁ i k
calotte	k a l ɔ t
calottes	k a l ɔ t
calouche	k a l u ʃ
caloy	k a l ɔ j
calque	k a l k
calques	k a l k
caluire-et-cuire	k a l ɥ i ʁ e k ɥ i ʁ
calvaire	k a l v ɛ ʁ
calvaires	k a l v ɛ ʁ
calvez	k a l v e
calvi	k a l v i
calviani	k a l v i a n i
calvimont	k a l v i m ɔ̃
calvin	k a l v ɛ̃
calvinistes	k a l v i n i s t
calypso	k a l i p s o
calçon	k a l s ɔ̃
calèche	k a l ɛ ʃ
calèches	k a l ɛ ʃ
calès	k a l ɛ s
calé	k a l e
calédonie	k a l e d o n i
calédoniens	k a l e d ɔ n j ɛ̃
calée	k a l e
calés	k a l e
cam	k a m
camail	k a m a j
camarade	k a m a ʁ a d
camaraderie	k a m a ʁ a d ʁ i
camarades	k a m a ʁ a d
camard	k a m a ʁ
camarde	k a m a ʁ d
camaret-sur-mer	k a m a ʁ ɛ s y ʁ m ɛ ʁ
camargue	k a m a ʁ ɡ
camaro	k a m a ʁ o
camaïeux	k a m a j ø
cambembert	k ɑ̃ b ɛ̃ b ɛ ʁ
cambodge	k ɑ̃ b ɔ d ʒ
cambodgienne	k ɑ̃ b ɔ d ʒ j ɛ n
cambodgiens	k ɑ̃ b ɔ d ʒ j ɛ̃
cambodje	k ɑ̃ b ɔ d ʒ e
cambon	k ɑ̃ b ɔ̃
cambrai	k ɑ̃ b ʁ ɛ
cambrait	k ɑ̃ b ʁ ɛ
cambre	k ɑ̃ b ʁ
cambridge	k ɑ̃ b ʁ i d ʒ
cambriolage	k ɑ̃ b ʁ i j ɔ l a ʒ
cambriolages	k ɑ̃ b ʁ i j ɔ l a ʒ
cambrioler	k ɑ̃ b ʁ i j ɔ l e
cambrioleur	k ɑ̃ b ʁ i j ɔ l œ ʁ
cambrioleurs	k ɑ̃ b ʁ i j ɔ l œ ʁ
cambriolé	k ɑ̃ b ʁ i j ɔ l e
cambriolés	k ɑ̃ b ʁ i j ɔ l e
cambronne-lès-ribécourt	k ɑ̃ b ʁ ɔ n l ɛ ʁ i b ɛ k u ʁ
cambrousse	k ɑ̃ b ʁ u s
cambry	k ɑ̃ b ʁ i
cambré	k ɑ̃ b ʁ e
cambrée	k ɑ̃ b ʁ e
cambrées	k ɑ̃ b ʁ e
cambrés	k ɑ̃ b ʁ e
cambuse	k ɑ̃ b y z
cambuses	k ɑ̃ b y z
camel	k a m ɛ l
camelote	k a m l ɔ t
camelots	k a m l o
camembert	k a m ɑ̃ b ɛ ʁ
camemberts	k a m ɑ̃ b ɛ ʁ
cameroun	k a m ʁ u n
camerounais	k a m ʁ u n ɛ
camerounaises	k a m ʁ u n ɛ z
cames	k a m
camescope	k a m e s k ɔ p
cami	k a m i
camif	k a m i f
camille	k a m i j
camille-flammarion	k a m i l f l a m a ʁ j ɔ̃
camin	k a m ɛ̃
camion	k a m j ɔ̃
camion-pizza	k a m j ɔ̃ p i d z a
camionette	k a m j ɔ n ɛ t
camionnette	k a m j ɔ n ɛ t
camionnettes	k a m j ɔ n ɛ t
camions	k a m j ɔ̃
camisières	k a m i z j ɛ ʁ
camisole	k a m i z ɔ l
cammas	k a m a
camon	k a m ɔ̃
camouflage	k a m u f l a ʒ
camoufler	k a m u f l e
camoufles	k a m u f l
camouflée	k a m u f l e
camoël	k a m ɔ ɛ l
camp	k ɑ̃
campa	k ɑ̃ p a
campagnac	k ɑ̃ p a ɲ a k
campagnan	k ɑ̃ p a ɲ ɑ̃
campagnard	k ɑ̃ p a ɲ a ʁ
campagnarde	k ɑ̃ p a ɲ a ʁ d
campagnardes	k ɑ̃ p a ɲ a ʁ d
campagnards	k ɑ̃ p a ɲ a ʁ
campagne	k ɑ̃ p a ɲ
campagne-sur-arize	k ɑ̃ p a ɲ s y ʁ a ʁ i z
campagnes	k ɑ̃ p a ɲ
campagnols	k ɑ̃ p a ɲ ɔ l
campaient	k ɑ̃ p ɛ
campait	k ɑ̃ p ɛ
campant	k ɑ̃ p ɑ̃
campbell	k ɑ̃ b e l
campe	k ɑ̃ p
campement	k ɑ̃ p m ɑ̃
campements	k ɑ̃ p m ɑ̃
campent	k ɑ̃ p
camper	k ɑ̃ p e
camperait	k ɑ̃ p ə ʁ ɛ
campez	k ɑ̃ p e
camphre	k ɑ̃ f ʁ
camphrier	k ɑ̃ f ʁ i j e
camphriers	k ɑ̃ f ʁ i j e
camping	k ɑ̃ p i ŋ ɡ
campingcar	k ɑ̃ p i ŋ k a ʁ
campinois	k ɑ̃ p i n w a
campo	k ɑ̃ p o
campo-formio	k ɑ̃ p o f ɔ ʁ m j o
campons	k ɑ̃ p ɔ̃
camps	k ɑ̃
campu	k ɑ̃ p y
campus	k ɑ̃ p y s
campèrent	k ɑ̃ p ɛ ʁ
campé	k ɑ̃ p e
campée	k ɑ̃ p e
campées	k ɑ̃ p e
campés	k ɑ̃ p e
campêche	k ɑ̃ p ɛ ʃ
camus	k a m y
camuse	k a m y z
camélia	k a m e l j a
camélias	k a m e l j a
caméléo	k a m e l e ɔ
caméléon	k a m e l e ɔ̃
caméléons	k a m e l e ɔ̃
caméo	k a m e o
caméra	k a m e ʁ a
caméras	k a m e ʁ a
camériste	k a m e ʁ i s t
caméristes	k a m e ʁ i s t
camés	k a m e
can	k ɑ̃
cana	k a n a
canabals	k a n a b a l
canada	k a n a d a
canadair	k a n a d ɛ ʁ
canadairs	k a n a d ɛ ʁ
canadian	k ə n e d j œ n
canadien	k a n a d j ɛ̃
canadienne	k a n a d j ɛ n
canadiennes	k a n a d j ɛ n
canadiens	k a n a d j ɛ̃
canadiens-français	k a n a d j ɛ̃ f ʁ ɑ̃ s ɛ
canaille	k a n a j
canailles	k a n a j
canal	k a n a l
canale	k a n a l
canalisation	k a n a l i z a s j ɔ̃
canaliser	k a n a l i z e
canalisé	k a n a l i z e
canalisées	k a n a l i z e
canalisés	k a n a l i z e
canals	k a n a l
canaples	k a n a p l
canapé	k a n a p e
canapés	k a n a p e
canard	k a n a ʁ
canarde	k a n a ʁ d
canardières	k a n a ʁ d j ɛ ʁ
canards	k a n a ʁ
canardé	k a n a ʁ d e
canari	k a n a ʁ i
canaries	k a n a ʁ i
canarousse	k a n a ʁ u s
canastelle	k a n a s t ɛ l
canaudière	k a n o d j ɛ ʁ
canaux	k a n o
canc	k ɑ̃
cancanent	k ɑ̃ k a n
cancans	k ɑ̃ k ɑ̃
cancer	k ɑ̃ s ɛ ʁ
cancers	k ɑ̃ s ɛ ʁ
canche	k ɑ̃ ʃ
cancre	k ɑ̃ k ʁ
